Equipment,Timestamp,Temperature,Vibration,Usage_Hours,Lubrication_Status,Motor_Current,Pressure,Humidity,Conveyor_Speed,Maintenance_Required
Robot,2020-11-06 00:46:27,20.2,0.5,509,Low,10.1,87,33,,Yes
Stamping Machine,2020-03-14 05:08:45,35.9,0.36,509,Low,8.7,88,68,,No
Stamping Machine,2022-09-03 23:14:49,31.0,0.5,686,Low,8.8,100,39,,No
Robot,2022-09-03 23:14:49,70.6,0.37,509,Good,15.7,96,35,,No
Stamping Machine,2023-09-16 23:58:34,73.9,0.13,1130,Low,5.3,100,37,,Yes
CNC Machine,2022-01-03 02:07:29,71.6,0.37,597,Empty,16.5,97,30,,No
Stamping Machine,2022-07-04 01:26:47,74.2,0.46,509,Low,5.3,100,35,,No
Stamping Machine,2022-09-03 23:14:49,77.7,0.36,509,Good,18.5,92,30,,No
Stamping Machine,2023-09-16 23:58:34,20.2,0.14,1993,Low,10.0,100,36,,Yes
Robot,2022-04-21 13:10:24,20.2,0.5,523,Good,20.0,100,43,,No
Robot,2020-10-18 06:17:22,45.9,0.05,897,Empty,13.5,100,30,,No
CNC Machine,2022-04-21 13:10:24,20.2,0.05,963,Empty,6.2,88,65,,Yes
Robot,2022-10-30 20:56:26,67.7,0.35,1735,Empty,20.0,80,70,1.89,Yes
Robot,2023-09-15 23:39:07,58.3,0.39,825,Empty,9.5,80,45,2.33,Yes
Robot,2022-07-25 00:00:35,29.8,0.5,846,Good,18.6,100,38,,Yes
CNC Machine,2020-03-14 05:08:45,20.2,0.14,509,Low,5.3,100,70,,Yes
Conveyor Belt,2022-02-04 09:20:03,47.5,0.21,509,Low,9.3,89,70,,No
Stamping Machine,2021-12-10 16:13:49,49.0,0.05,509,Empty,14.5,98,70,,Yes
Stamping Machine,2022-09-03 23:14:49,32.0,0.18,1810,Good,20.0,100,40,1.87,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.34,1173,Empty,11.9,93,30,3.0,Yes
Robot,2020-07-05 07:56:20,31.9,0.5,1796,Low,5.3,100,50,,Yes
Conveyor Belt,2022-07-04 01:26:47,39.2,0.17,1048,Empty,20.0,99,39,,No
Stamping Machine,2023-08-26 08:00:02,53.1,0.46,1554,Low,7.6,89,70,,No
Stamping Machine,2020-03-14 05:08:45,59.8,0.32,509,Good,12.6,85,30,1.89,No
Conveyor Belt,2022-02-04 09:20:03,70.3,0.07,509,Good,20.0,80,38,,Yes
CNC Machine,2020-03-14 05:08:45,36.3,0.4,854,Low,5.3,90,62,,Yes
Robot,2022-09-03 23:14:49,20.2,0.05,808,Low,5.9,100,56,,No
CNC Machine,2023-10-06 19:33:06,26.9,0.05,841,Low,7.2,100,37,,Yes
Stamping Machine,2023-09-16 23:58:34,76.2,0.09,509,Low,6.8,100,70,,No
CNC Machine,2023-09-16 23:58:34,41.3,0.05,888,Empty,5.3,100,39,,Yes
Conveyor Belt,2022-09-03 23:14:49,20.2,0.13,1993,Good,20.0,80,34,1.92,No
Stamping Machine,2023-07-02 01:54:59,24.0,0.48,1467,Low,20.0,80,30,1.88,Yes
CNC Machine,2022-04-21 13:10:24,20.2,0.13,861,Low,5.3,100,47,1.35,No
CNC Machine,2022-09-03 23:14:49,32.4,0.39,509,Good,10.5,80,61,,Yes
Stamping Machine,2020-01-06 23:09:12,75.5,0.05,509,Low,5.3,100,47,1.95,Yes
CNC Machine,2022-12-24 04:03:28,20.2,0.05,509,Empty,5.3,80,31,1.97,No
CNC Machine,2022-09-03 23:14:49,50.4,0.34,1743,Good,20.0,100,65,,Yes
CNC Machine,2022-09-03 23:14:49,20.2,0.05,509,Low,12.4,94,38,,Yes
Robot,2020-07-05 07:56:20,33.0,0.05,509,Low,5.3,95,70,,Yes
Conveyor Belt,2022-12-08 17:49:37,55.2,0.38,837,Good,14.5,82,51,,Yes
Robot,2020-10-18 06:17:22,58.1,0.5,1993,Empty,7.4,98,41,,Yes
Stamping Machine,2023-09-15 23:39:07,79.2,0.05,509,Empty,16.9,80,68,,Yes
Stamping Machine,2022-09-29 17:02:08,66.3,0.32,758,Empty,9.7,100,38,,No
Stamping Machine,2022-09-03 23:14:49,59.6,0.5,1324,Good,20.0,80,41,3.0,Yes
Robot,2020-04-03 03:08:29,20.2,0.48,812,Low,20.0,85,35,1.95,No
CNC Machine,2021-10-24 16:48:04,66.6,0.12,509,Empty,13.8,100,50,,No
Robot,2020-11-06 00:46:27,67.7,0.21,509,Good,12.4,94,44,,No
Robot,2020-10-18 06:17:22,35.5,0.09,509,Good,8.3,100,30,,Yes
Stamping Machine,2020-11-06 00:46:27,76.0,0.38,1577,Good,16.4,100,36,,Yes
Conveyor Belt,2023-09-16 23:58:34,60.3,0.5,509,Empty,7.4,100,58,,Yes
Robot,2020-04-03 03:08:29,75.8,0.5,509,Empty,14.2,100,36,1.9,Yes
Robot,2020-04-03 06:01:09,20.2,0.05,907,Low,9.5,85,57,,No
CNC Machine,2023-07-24 16:21:48,20.2,0.5,509,Low,7.8,100,39,1.9,Yes
Conveyor Belt,2022-12-24 04:03:28,20.2,0.05,509,Good,5.3,100,39,1.94,No
Stamping Machine,2023-09-22 03:26:36,67.6,0.5,509,Good,5.3,91,56,,Yes
CNC Machine,2023-09-16 23:58:34,43.5,0.44,1076,Empty,5.3,100,70,1.86,Yes
Stamping Machine,2023-09-15 23:39:07,20.2,0.5,1159,Low,20.0,100,34,,No
Stamping Machine,2023-07-24 16:21:48,20.2,0.4,1075,Low,18.0,100,37,,Yes
Stamping Machine,2020-10-18 06:17:22,46.3,0.5,1053,Good,6.5,100,33,,No
Stamping Machine,2020-01-30 04:40:07,64.5,0.05,509,Low,20.0,80,70,,Yes
CNC Machine,2023-07-02 01:54:59,36.7,0.25,509,Good,6.9,100,45,,No
Conveyor Belt,2022-07-12 22:45:22,66.8,0.39,509,Empty,5.3,91,30,2.02,Yes
CNC Machine,2022-09-03 23:14:49,75.8,0.36,733,Empty,6.8,100,40,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.28,985,Good,13.4,100,30,,Yes
Stamping Machine,2021-10-14 00:34:41,26.2,0.5,509,Good,20.0,85,45,,Yes
Stamping Machine,2020-03-14 05:08:45,43.6,0.5,600,Good,10.7,80,34,,No
Stamping Machine,2020-03-14 05:08:45,45.8,0.33,1544,Low,20.0,87,70,2.0,No
Stamping Machine,2022-04-21 13:10:24,49.6,0.21,509,Good,5.3,100,35,,No
Stamping Machine,2022-02-04 09:20:03,35.6,0.5,509,Low,10.1,80,43,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.18,509,Good,5.3,85,30,1.86,No
Stamping Machine,2023-07-24 16:21:48,66.4,0.5,509,Low,5.3,100,36,,Yes
Conveyor Belt,2022-09-03 23:14:49,58.3,0.32,509,Low,5.3,100,46,,No
CNC Machine,2020-01-06 23:09:12,62.5,0.28,887,Low,19.2,81,30,,Yes
CNC Machine,2023-09-16 23:58:34,67.1,0.5,509,Good,20.0,96,30,,Yes
Conveyor Belt,2023-09-16 23:58:34,65.8,0.21,1733,Good,20.0,100,36,2.04,Yes
CNC Machine,2020-12-24 19:27:54,75.9,0.36,509,Empty,11.0,93,37,,Yes
Robot,2022-09-03 23:14:49,51.6,0.05,509,Good,17.5,86,40,,No
CNC Machine,2020-08-10 03:31:41,66.9,0.5,744,Good,8.1,95,31,1.87,No
CNC Machine,2020-01-06 23:09:12,42.6,0.45,509,Good,5.3,100,40,,Yes
Stamping Machine,2022-10-18 19:14:16,39.3,0.18,1677,Empty,17.4,95,36,,No
Robot,2020-04-03 06:01:09,30.7,0.29,509,Low,17.8,91,30,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.5,509,Good,6.1,89,39,,Yes
Conveyor Belt,2020-11-07 05:51:01,20.2,0.24,1993,Empty,5.3,87,70,1.06,Yes
Robot,2020-11-06 00:46:27,74.1,0.24,978,Good,20.0,80,70,,No
Conveyor Belt,2022-09-03 23:14:49,66.8,0.28,509,Empty,6.8,80,67,,Yes
Stamping Machine,2022-09-21 04:11:31,20.2,0.05,1751,Good,13.5,80,43,,No
Stamping Machine,2020-11-14 08:04:49,79.7,0.41,509,Low,7.2,100,30,,Yes
CNC Machine,2022-07-12 22:45:22,31.7,0.08,509,Low,11.5,80,40,,Yes
CNC Machine,2022-12-24 04:03:28,20.2,0.05,805,Good,11.8,100,36,,No
Stamping Machine,2020-01-06 23:09:12,62.5,0.06,509,Low,5.3,100,51,,No
Robot,2022-09-03 23:14:49,36.6,0.05,509,Low,15.9,86,34,,Yes
Stamping Machine,2021-10-24 16:48:04,42.3,0.19,509,Low,18.6,86,30,,Yes
Stamping Machine,2023-09-15 23:39:07,20.2,0.16,509,Good,18.7,90,52,,No
CNC Machine,2023-09-15 23:39:07,58.3,0.5,1014,Good,8.2,100,44,,No
Conveyor Belt,2022-09-03 23:14:49,33.8,0.5,593,Good,20.0,80,30,,No
Stamping Machine,2023-09-16 23:58:34,79.7,0.2,770,Low,10.4,84,30,,No
Stamping Machine,2020-11-06 00:46:27,70.7,0.38,1505,Low,9.2,100,58,,No
Conveyor Belt,2020-08-10 03:31:41,73.6,0.5,1442,Good,18.9,91,49,1.9,Yes
Robot,2023-09-15 23:39:07,22.2,0.05,1778,Good,5.3,91,70,,Yes
Stamping Machine,2022-12-24 04:03:28,38.2,0.05,509,Low,8.1,97,54,,No
Stamping Machine,2023-09-16 23:58:34,20.2,0.05,615,Good,13.0,100,36,,Yes
Conveyor Belt,2023-09-15 23:39:07,63.2,0.38,509,Good,20.0,95,70,,No
Stamping Machine,2021-10-14 00:34:41,20.2,0.18,509,Empty,19.8,80,57,,Yes
Conveyor Belt,2022-09-03 23:14:49,73.0,0.5,509,Low,5.3,94,38,1.89,Yes
Robot,2022-09-03 23:14:49,20.2,0.5,792,Empty,10.7,97,38,,Yes
CNC Machine,2022-07-04 01:26:47,20.2,0.46,974,Empty,9.7,80,32,,Yes
CNC Machine,2023-07-18 10:48:35,20.2,0.05,552,Empty,20.0,95,35,,Yes
Stamping Machine,2020-03-14 05:08:45,20.2,0.05,509,Good,7.0,84,30,,No
Conveyor Belt,2022-09-03 23:14:49,45.9,0.05,788,Empty,15.7,93,37,,No
Conveyor Belt,2020-11-07 17:17:59,79.7,0.31,584,Good,7.4,94,38,,Yes
Conveyor Belt,2020-04-03 03:08:29,42.9,0.5,509,Low,11.8,100,34,,Yes
Conveyor Belt,2023-09-15 23:39:07,20.2,0.5,616,Good,5.9,89,47,,No
Conveyor Belt,2022-07-12 22:45:22,20.2,0.47,895,Low,11.6,100,30,,Yes
Stamping Machine,2023-09-16 23:58:34,36.5,0.4,826,Good,5.3,89,60,,Yes
Robot,2020-07-05 07:56:20,20.2,0.29,1206,Low,11.6,100,36,,Yes
Robot,2021-02-26 19:35:04,60.3,0.26,779,Low,18.4,80,57,1.88,No
CNC Machine,2023-09-15 23:39:07,20.2,0.5,509,Empty,5.3,80,36,1.87,No
Robot,2022-02-04 09:20:03,79.7,0.5,805,Low,17.6,87,34,,No
Stamping Machine,2023-07-02 09:00:22,20.2,0.05,709,Low,18.5,85,65,,No
CNC Machine,2022-12-24 04:03:28,38.5,0.25,734,Empty,5.3,80,70,,No
Conveyor Belt,2020-11-06 00:46:27,30.8,0.5,509,Good,6.3,80,37,1.89,Yes
Robot,2020-07-05 07:56:20,20.2,0.44,509,Good,12.3,100,70,,No
Conveyor Belt,2022-05-03 02:19:35,62.1,0.37,509,Empty,15.5,82,46,,No
CNC Machine,2023-09-15 23:39:07,79.7,0.5,509,Low,15.6,93,38,,Yes
Stamping Machine,2021-07-16 21:20:37,75.5,0.37,703,Empty,20.0,86,70,1.89,Yes
Robot,2020-11-06 00:46:27,20.2,0.25,1704,Low,13.8,82,58,,Yes
Stamping Machine,2021-10-24 16:48:04,73.2,0.5,922,Low,19.3,80,30,2.16,Yes
CNC Machine,2020-03-14 05:08:45,59.2,0.5,509,Good,20.0,83,30,,Yes
Stamping Machine,2020-10-18 06:17:22,61.0,0.5,765,Empty,9.1,93,70,,Yes
CNC Machine,2023-09-16 23:58:34,31.1,0.2,1341,Low,5.3,100,42,,Yes
CNC Machine,2023-09-16 23:58:34,20.2,0.16,774,Low,6.8,100,54,,Yes
Stamping Machine,2020-10-18 06:17:22,20.2,0.07,1298,Low,11.5,100,49,,No
Robot,2020-07-05 07:56:20,20.2,0.13,509,Low,18.9,99,30,,Yes
Conveyor Belt,2022-09-29 17:02:08,20.2,0.2,509,Good,8.9,100,53,,No
Robot,2022-09-03 23:14:49,20.2,0.05,1811,Low,20.0,90,33,,Yes
Conveyor Belt,2020-01-16 21:08:39,47.1,0.31,824,Low,5.3,100,41,1.99,Yes
Conveyor Belt,2022-09-03 23:14:49,67.4,0.3,887,Low,18.7,80,35,,Yes
Robot,2022-09-03 23:14:49,20.2,0.05,509,Good,13.0,91,70,,No
Robot,2023-09-16 23:58:34,61.8,0.48,509,Empty,20.0,100,30,1.12,Yes
Stamping Machine,2022-09-03 23:14:49,56.0,0.33,509,Low,20.0,84,30,,Yes
CNC Machine,2023-09-15 23:39:07,66.9,0.1,1137,Good,5.3,100,30,,No
Stamping Machine,2023-09-22 03:26:36,59.2,0.5,1867,Low,20.0,80,68,,Yes
CNC Machine,2023-07-29 03:01:37,66.8,0.37,766,Good,5.3,100,70,,No
Robot,2022-09-03 23:14:49,20.2,0.5,1734,Good,20.0,90,49,1.06,Yes
Conveyor Belt,2021-08-04 20:57:21,69.0,0.5,509,Low,10.9,84,37,1.99,No
Stamping Machine,2022-04-21 13:10:24,25.5,0.05,1369,Good,20.0,85,38,,Yes
Robot,2022-07-04 01:26:47,70.2,0.05,509,Good,16.6,100,35,,Yes
CNC Machine,2022-01-03 02:07:29,56.4,0.24,509,Low,20.0,100,36,,No
Stamping Machine,2021-09-28 02:47:06,69.1,0.39,769,Empty,8.3,100,41,,No
CNC Machine,2022-09-03 23:14:49,20.2,0.27,509,Good,20.0,80,35,,No
Robot,2020-11-06 00:46:27,65.5,0.38,1821,Low,19.0,100,30,1.87,Yes
Stamping Machine,2023-09-16 23:58:34,20.2,0.5,509,Good,19.1,96,44,,Yes
Stamping Machine,2023-09-16 23:58:34,72.4,0.38,523,Good,20.0,99,35,,No
Conveyor Belt,2022-10-25 10:49:27,20.2,0.05,599,Empty,17.1,98,35,,Yes
Stamping Machine,2023-07-18 10:48:35,28.1,0.12,1245,Low,5.3,100,64,,No
Stamping Machine,2022-09-03 23:14:49,41.6,0.2,509,Good,20.0,80,36,,Yes
Robot,2023-09-15 23:39:07,28.6,0.1,839,Low,5.3,100,69,,No
CNC Machine,2022-09-03 23:14:49,45.6,0.11,928,Good,5.9,80,70,,Yes
Robot,2022-07-12 22:45:22,73.8,0.28,1400,Good,13.5,81,60,2.03,Yes
Robot,2022-07-12 22:45:22,66.1,0.05,509,Empty,7.6,80,50,,Yes
Stamping Machine,2020-02-21 13:31:55,20.2,0.07,509,Empty,18.2,80,30,,Yes
Conveyor Belt,2020-03-14 05:08:45,38.3,0.33,509,Low,20.0,80,70,,Yes
CNC Machine,2020-07-05 07:56:20,20.2,0.07,509,Empty,5.3,95,59,,Yes
CNC Machine,2021-06-20 23:29:22,36.5,0.32,917,Low,16.8,80,30,,No
Robot,2020-10-27 00:55:26,65.0,0.07,509,Low,7.7,100,36,,Yes
Conveyor Belt,2022-09-03 23:14:49,79.7,0.19,509,Low,5.3,100,38,2.76,Yes
CNC Machine,2021-01-31 21:25:50,20.2,0.47,1152,Low,8.3,100,70,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.05,741,Empty,20.0,96,30,,Yes
Conveyor Belt,2020-03-14 05:08:45,47.7,0.07,856,Low,9.3,84,45,,Yes
CNC Machine,2022-09-03 23:14:49,40.4,0.44,747,Empty,20.0,89,38,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.12,509,Empty,15.3,100,40,1.87,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.12,1822,Low,20.0,83,51,,No
CNC Machine,2022-09-03 23:14:49,32.2,0.37,1181,Good,20.0,80,65,1.91,Yes
Stamping Machine,2021-09-28 02:47:06,32.9,0.5,509,Empty,5.5,81,30,,No
CNC Machine,2021-09-15 17:57:32,44.5,0.05,1861,Empty,8.3,100,30,2.05,Yes
CNC Machine,2020-10-18 06:17:22,54.4,0.5,934,Empty,17.6,88,54,1.87,Yes
Conveyor Belt,2022-03-11 02:11:01,31.9,0.38,509,Good,20.0,93,30,,Yes
Stamping Machine,2023-09-15 23:39:07,20.9,0.28,509,Low,16.0,86,66,,Yes
Stamping Machine,2022-01-03 02:07:29,71.3,0.05,509,Empty,12.5,100,30,,No
Stamping Machine,2023-07-02 01:54:59,43.5,0.5,803,Good,8.4,84,69,,No
Conveyor Belt,2022-09-03 23:14:49,69.6,0.5,1334,Good,20.0,80,30,,Yes
Robot,2022-06-19 13:45:22,37.7,0.27,827,Low,20.0,83,70,,Yes
Conveyor Belt,2020-04-03 03:08:29,57.2,0.35,509,Low,17.4,100,30,,No
CNC Machine,2022-07-12 22:45:22,44.6,0.46,509,Low,18.6,94,70,1.91,No
Conveyor Belt,2020-11-06 00:46:27,75.0,0.05,509,Empty,18.7,99,70,,Yes
Stamping Machine,2020-04-04 06:24:32,74.0,0.27,509,Good,19.8,92,36,,Yes
CNC Machine,2022-09-03 23:14:49,20.2,0.05,1303,Empty,19.2,80,55,,Yes
Conveyor Belt,2020-11-06 00:46:27,20.2,0.5,962,Good,16.6,82,30,,Yes
Conveyor Belt,2022-01-03 02:07:29,20.2,0.05,509,Good,5.3,85,43,,No
Robot,2023-07-02 01:54:59,25.2,0.34,934,Good,20.0,85,48,,Yes
Conveyor Belt,2022-07-12 22:45:22,79.7,0.35,745,Low,20.0,83,38,,Yes
Stamping Machine,2020-08-31 16:56:52,32.4,0.15,518,Good,13.8,93,70,,Yes
Stamping Machine,2022-10-30 20:56:26,38.4,0.5,979,Low,11.0,80,36,,Yes
Robot,2023-09-15 23:39:07,61.6,0.42,999,Good,9.6,100,30,,No
Robot,2022-04-21 13:10:24,64.9,0.5,1726,Low,5.3,100,30,,Yes
Robot,2020-03-14 05:08:45,20.2,0.12,509,Empty,7.2,100,51,,Yes
CNC Machine,2023-09-16 23:58:34,72.4,0.11,1024,Low,6.0,100,30,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.14,509,Good,5.3,99,30,,Yes
CNC Machine,2022-09-03 23:14:49,37.4,0.47,1440,Low,12.4,85,46,,No
Robot,2020-11-07 05:51:01,20.2,0.5,1839,Low,13.2,80,70,,Yes
Stamping Machine,2023-07-18 10:48:35,20.2,0.5,1669,Good,8.0,98,38,,No
CNC Machine,2022-09-03 23:14:49,30.3,0.05,570,Good,16.0,80,70,2.0,No
Stamping Machine,2023-09-15 23:39:07,27.4,0.5,794,Low,20.0,80,30,,Yes
CNC Machine,2022-04-05 21:56:47,20.2,0.19,924,Good,7.0,85,70,,No
Conveyor Belt,2022-12-08 17:49:37,36.3,0.23,509,Good,18.0,80,30,1.87,Yes
Stamping Machine,2023-01-21 15:34:41,20.2,0.16,509,Low,5.3,100,40,,No
Stamping Machine,2022-09-03 23:14:49,54.0,0.2,930,Low,20.0,80,70,,No
Robot,2023-07-18 10:48:35,31.2,0.5,972,Good,20.0,91,30,,Yes
Conveyor Belt,2021-06-25 01:50:21,37.4,0.5,749,Low,5.3,80,70,,Yes
CNC Machine,2022-04-05 21:56:47,23.1,0.37,730,Good,11.3,100,38,,No
Stamping Machine,2022-04-21 13:10:24,24.6,0.5,745,Low,13.6,89,30,,No
Conveyor Belt,2020-01-06 23:09:12,66.0,0.05,509,Empty,5.3,100,30,,Yes
Robot,2022-01-13 11:52:31,47.0,0.11,509,Good,7.2,96,70,,No
Stamping Machine,2023-01-21 15:34:41,36.5,0.5,509,Empty,6.7,95,30,,Yes
CNC Machine,2020-06-27 13:41:39,58.0,0.39,509,Low,8.0,93,45,,No
Stamping Machine,2022-09-03 23:14:49,29.0,0.05,509,Good,12.0,80,42,,No
Conveyor Belt,2023-09-22 03:26:36,31.4,0.26,896,Low,5.3,80,62,1.72,Yes
Conveyor Belt,2022-09-03 23:14:49,28.9,0.26,509,Good,20.0,83,68,,Yes
Stamping Machine,2023-07-24 16:21:48,20.2,0.18,509,Low,18.8,94,30,,No
CNC Machine,2020-03-14 05:08:45,20.2,0.12,509,Good,18.8,83,50,2.0,Yes
Conveyor Belt,2022-09-03 23:14:49,64.6,0.38,1470,Low,15.5,85,67,1.89,Yes
Robot,2020-10-18 06:17:22,63.8,0.5,1993,Empty,20.0,100,37,,No
CNC Machine,2022-12-24 04:03:28,79.7,0.11,509,Good,5.3,100,30,,No
Robot,2020-10-18 06:17:22,39.5,0.31,509,Good,10.2,100,45,,Yes
Robot,2022-05-08 19:07:29,46.0,0.5,509,Good,8.4,80,35,,No
Robot,2023-09-16 23:58:34,43.1,0.36,1085,Good,5.3,88,57,,Yes
Robot,2023-09-16 23:58:34,45.8,0.05,509,Low,16.0,100,51,,No
Stamping Machine,2023-01-21 15:34:41,29.1,0.4,560,Good,7.5,100,54,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.17,1004,Low,20.0,80,47,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.16,1301,Empty,14.8,83,54,,Yes
CNC Machine,2022-09-03 23:14:49,20.2,0.34,1514,Low,5.3,80,70,,Yes
Conveyor Belt,2020-06-27 13:41:39,59.8,0.14,509,Empty,6.8,100,39,1.94,No
CNC Machine,2023-09-22 03:26:36,55.2,0.17,509,Low,5.3,100,36,,No
Stamping Machine,2023-07-02 01:54:59,74.8,0.2,983,Low,8.1,95,70,1.87,Yes
Conveyor Belt,2020-07-05 07:56:20,57.1,0.19,559,Good,5.3,100,42,1.88,Yes
Stamping Machine,2023-09-22 03:26:36,25.8,0.05,902,Empty,20.0,80,30,,Yes
Conveyor Belt,2021-10-24 16:48:04,74.6,0.07,509,Low,14.4,86,49,,No
Stamping Machine,2022-07-02 03:51:41,23.7,0.05,1255,Empty,9.7,89,70,,Yes
Robot,2020-03-14 05:08:45,37.8,0.22,999,Empty,12.8,86,30,2.03,No
Conveyor Belt,2020-07-05 07:56:20,46.0,0.18,769,Good,9.7,91,70,,No
Robot,2022-09-03 23:14:49,20.2,0.18,509,Empty,14.8,85,57,,No
Stamping Machine,2022-09-03 23:14:49,73.5,0.38,1993,Low,20.0,89,49,,Yes
CNC Machine,2020-11-14 08:04:49,21.2,0.23,964,Good,20.0,88,35,1.9,No
Robot,2022-09-03 23:14:49,65.9,0.08,509,Empty,6.9,100,40,1.87,No
CNC Machine,2021-10-14 00:34:41,68.4,0.33,509,Low,20.0,92,38,,No
Stamping Machine,2022-07-04 01:26:47,64.2,0.5,509,Empty,7.8,100,53,,Yes
Conveyor Belt,2022-02-04 09:20:03,79.7,0.33,782,Empty,9.6,99,31,,Yes
Stamping Machine,2022-08-26 01:03:50,28.9,0.19,509,Empty,5.3,80,65,,Yes
Stamping Machine,2021-10-24 16:48:04,62.6,0.22,509,Low,20.0,97,63,,Yes
Stamping Machine,2020-11-06 00:46:27,74.9,0.5,772,Empty,15.7,89,60,,Yes
Conveyor Belt,2022-02-04 09:20:03,61.3,0.5,509,Empty,6.3,90,52,,Yes
Conveyor Belt,2023-09-16 23:58:34,20.2,0.5,1252,Good,9.5,80,70,1.88,Yes
CNC Machine,2023-09-15 23:39:07,20.2,0.1,990,Empty,5.3,85,56,,Yes
Stamping Machine,2020-03-14 05:08:45,38.4,0.48,509,Low,5.3,100,54,,No
Stamping Machine,2022-09-03 23:14:49,62.7,0.46,1095,Good,6.5,100,35,,No
Robot,2023-09-16 23:58:34,79.7,0.33,509,Good,14.2,80,30,,Yes
Robot,2022-08-18 00:56:51,75.9,0.37,509,Good,5.3,100,30,,Yes
Robot,2021-10-14 00:34:41,79.7,0.31,769,Good,6.9,100,30,,Yes
Robot,2022-07-12 22:45:22,50.0,0.37,1801,Good,20.0,90,42,,No
Conveyor Belt,2022-04-21 13:10:24,67.8,0.06,509,Low,11.3,92,39,,No
Stamping Machine,2022-02-04 09:20:03,79.7,0.22,509,Low,18.0,83,58,,No
CNC Machine,2021-10-24 16:48:04,20.2,0.08,733,Good,11.0,80,30,,Yes
Conveyor Belt,2021-05-06 05:33:14,39.7,0.5,1485,Good,18.5,80,30,,No
Robot,2023-09-16 23:58:34,57.9,0.5,509,Low,12.4,98,43,,Yes
Stamping Machine,2020-03-14 05:08:45,20.2,0.05,509,Good,20.0,82,66,,Yes
Stamping Machine,2022-10-09 20:41:10,20.2,0.5,1993,Good,5.3,94,70,,No
CNC Machine,2021-09-28 02:47:06,45.7,0.5,509,Good,11.0,100,30,,Yes
CNC Machine,2020-03-14 05:08:45,79.7,0.05,1877,Good,20.0,99,43,2.04,Yes
Conveyor Belt,2020-10-18 06:17:22,75.0,0.5,509,Good,7.4,100,49,1.98,Yes
Stamping Machine,2022-01-08 16:52:54,20.2,0.5,509,Empty,6.4,80,68,,No
Stamping Machine,2023-09-16 23:58:34,49.1,0.37,1302,Low,18.9,83,30,,Yes
Conveyor Belt,2020-10-18 06:17:22,46.0,0.5,805,Low,8.6,100,34,,No
Robot,2022-09-03 23:14:49,51.1,0.34,509,Low,20.0,89,63,,Yes
Conveyor Belt,2023-01-21 15:34:41,20.2,0.3,509,Good,18.8,82,30,1.92,Yes
CNC Machine,2023-04-02 08:03:27,46.5,0.5,509,Good,5.3,95,30,,No
CNC Machine,2022-01-03 02:07:29,69.5,0.39,780,Low,18.0,100,36,,Yes
Robot,2020-03-14 05:08:45,31.7,0.05,509,Low,14.6,80,34,,No
CNC Machine,2022-07-04 01:26:47,79.7,0.5,1589,Empty,5.3,100,47,,Yes
Stamping Machine,2022-09-03 23:14:49,35.6,0.41,761,Low,16.1,85,52,,Yes
Robot,2023-09-16 23:58:34,44.9,0.05,807,Good,20.0,82,37,,Yes
Stamping Machine,2022-04-17 07:46:25,74.6,0.38,509,Low,7.9,98,70,,Yes
Robot,2020-03-14 05:08:45,20.2,0.05,509,Empty,7.2,95,35,,Yes
Robot,2023-09-16 23:58:34,34.2,0.05,1499,Low,19.2,80,48,,Yes
Robot,2022-09-03 23:14:49,74.3,0.17,735,Low,20.0,80,44,,Yes
CNC Machine,2022-01-08 16:52:54,20.2,0.27,509,Good,19.0,100,58,,Yes
Robot,2020-04-03 06:01:09,20.2,0.05,1993,Low,10.0,89,70,,No
Conveyor Belt,2020-10-18 06:17:22,20.2,0.5,1383,Good,8.2,100,45,,Yes
Robot,2020-07-05 07:56:20,60.6,0.15,955,Low,5.3,88,70,,No
Conveyor Belt,2022-08-18 00:56:51,41.3,0.5,509,Good,8.5,100,37,,Yes
Stamping Machine,2022-12-24 04:03:28,20.2,0.34,949,Low,7.5,100,47,2.03,Yes
Conveyor Belt,2023-09-16 23:58:34,20.2,0.05,509,Low,9.3,93,36,,Yes
Robot,2022-09-03 23:14:49,79.7,0.3,509,Low,5.3,80,70,,No
Robot,2020-11-06 00:46:27,76.2,0.5,509,Empty,6.6,89,52,,No
Stamping Machine,2022-10-18 19:14:16,20.2,0.15,1415,Low,5.3,83,70,,No
CNC Machine,2023-09-16 23:58:34,57.8,0.18,509,Empty,20.0,85,41,1.93,Yes
Robot,2022-09-03 23:14:49,72.8,0.38,889,Good,20.0,80,42,,Yes
Conveyor Belt,2022-07-12 22:45:22,36.5,0.31,1123,Good,6.5,93,54,1.87,Yes
CNC Machine,2022-09-03 23:14:49,75.3,0.5,509,Low,5.3,96,52,,Yes
Conveyor Belt,2020-07-05 07:56:20,31.6,0.36,1642,Low,6.8,100,70,,No
CNC Machine,2022-09-03 23:14:49,20.2,0.12,509,Empty,13.1,93,40,,Yes
